#Study : ASU&adidas Session 1 - High
#Date : 20170917 21:33:01
#Version : 6.4.8223.4
#TestRunDate : 20170826 14:04:47.708 (-07:00)
#Tracker : Model-Tobii X2 @60Hz, Freq-60Hz, Screen Size(cms)-{Width=33.7, Height=27}, Screen Res-{Width=1920, Height=1200}, Distance(Resp)-70cm 

StudyName	ExportDate	Name	Age	Gender	StimuliBlock	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	Timestamp RAW (no units) (Shimmer Sensor)	Timestamp CAL (mSecs) (Shimmer Sensor)	VSenseBatt RAW (no units) (Shimmer Sensor)	VSenseBatt CAL (mVolts) (Shimmer Sensor)	GSR RAW (no units) (Shimmer Sensor)	GSR CAL (kOhms) (Shimmer Sensor)	GSR CAL (µSiemens) (Shimmer Sensor)	Packet reception rate RAW (no units) (Shimmer Sensor)	GSR Quality (Shimmer Sensor)	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140703964				13616163	1412453.125	2749	4003.67179487179	1145	56.4429643844895	17.717	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140703973				13616419	1412460.9375	2738	3987.65128205128	1145	56.4429643844895	17.717	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140703973				13616675	1412468.75	2743	3994.93333333333	1145	56.4429643844895	17.717	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140703987				13616931	1412476.5625	2749	4003.67179487179	1144	56.5620457360702	17.6797	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704002				13617187	1412484.375	2748	4002.21538461538	1144	56.5620457360702	17.6797	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704002				13617443	1412492.1875	2735	3983.28205128205	1144	56.5620457360702	17.6797	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704016				13617699	1412500	2735	3983.28205128205	1144	56.5620457360702	17.6797	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704019				13617955	1412507.8125	2740	3990.5641025641	1144	56.5620457360702	17.6797	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704031				13618211	1412515.625	2750	4005.1282051282	1144	56.5620457360702	17.6797	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704031				13618467	1412523.4375	2734	3981.82564102564	1144	56.5620457360702	17.6797	100	VALID						
